model,t0_s,n_over_p_initial,p_over_n_initial,t_s,T9,T_K,rho_g_cm3,eta,eta10,baryon_sum,Y_n,X_n,Y_H1,X_H1,Y_H2,X_H2,Y_H3,X_H3,Y_He3,X_He3,Y_He4,X_He4,Y_Li7,X_Li7,Y_Be7,X_Be7,D/H,T/H,He3/H,Li7/H,Be7/H,Li7_plus_Be7_over_H
t0_10s,10.0,0.2,5.0,56.93309674006269,1.6346444712234955,1634644471.2234955,0.0001590936822513116,1.0815982001448363e-09,10.815982001448363,1.0000000000000013,7.496499705505014e-22,7.496499705505014e-22,0.6666708889666083,0.6666708889666083,2.014316436719054e-19,4.028632873438108e-19,4.441542476267938e-19,1.3324627428803814e-18,2.9549665292828236e-06,8.864899587848471e-06,0.08332800239212902,0.3333120095685161,2.1712642576024866e-21,1.5198849803217406e-20,1.1766521841687943e-06,8.23656528918156e-06,3.0214555188413896e-19,6.662271519238937e-19,4.432421721403272e-06,3.256875759144238e-21,1.7649670979224795e-06,1.7649670979224826e-06
t0_10s,10.0,0.2,5.0,57.68823710106929,1.6280186678042565,1628018667.8042564,0.00015545551220212285,1.0698205515290127e-09,10.698205515290127,1.0000000000000016,7.359609301446226e-22,7.359609301446226e-22,0.6666708903534178,0.6666708903534178,2.0129965567224274e-19,4.025993113444855e-19,4.401008038123932e-19,1.3203024114371794e-18,2.9521282165456577e-06,8.856384649636972e-06,0.08332800163403027,0.3333120065361211,2.1866325605606135e-21,1.5306427923924294e-20,1.1781036875834415e-06,8.24672581308409e-06,3.0194757051043447e-19,6.601470233372354e-19,4.428164270050348e-06,3.279928060757878e-21,1.7671443355789862e-06,1.7671443355789894e-06
t0_10s,10.0,0.2,5.0,58.453393375445664,1.6213933258491386,1621393325.8491387,0.0001519031657860775,1.0582411224879799e-09,10.582411224879799,1.0000000000000016,7.224798469014431e-22,7.224798469014431e-22,0.6666708917058024,0.6666708917058024,2.0117094556272744e-19,4.023418911254549e-19,4.3608507324257165e-19,1.308255219727715e-18,2.9493547144723966e-06,8.84806414341719e-06,0.08332800088910501,0.33331200355642004,2.2021478579903233e-21,1.5415035005932262e-20,1.1795248051088816e-06,8.25667363576217e-06,3.0175450595719557e-19,6.541234643180029e-19,4.424004034323322e-06,3.303200852756171e-21,1.7692759947728427e-06,1.769275994772846e-06
t0_10s,10.0,0.2,5.0,59.22869841070706,1.6147683023479882,1614768302.3479881,0.00014843461809738433,1.0468573443544483e-09,10.468573443544482,1.0000000000000013,7.092038741236724e-22,7.092038741236724e-22,0.6666708930245862,0.6666708930245862,2.0104543502653053e-19,4.0209087005306105e-19,4.3210642550171556e-19,1.2963192765051467e-18,2.9466446114551066e-06,8.839933834365319e-06,0.08332800015717795,0.3333120006287118,2.2178142398457474e-21,1.5524699678920233e-20,1.1809161241565756e-06,8.266412869096028e-06,3.01566240749491e-19,6.481555292466922e-19,4.4199388968170195e-06,3.326700270029573e-21,1.7713629566140735e-06,1.7713629566140768e-06
t0_10s,10.0,0.2,5.0,60.014286816410944,1.6081434592359443,1608143459.2359443,0.00014504789083149647,1.0356666793975498e-09,10.356666793975497,1.0000000000000016,6.961301101923111e-22,6.961301101923111e-22,0.666670894310599,0.666670894310599,2.0092300676304132e-19,4.0184601352608264e-19,4.2816422089506144e-19,1.2844926626851842e-18,2.9439964845107546e-06,8.831989453532265e-06,0.08332799943807016,0.33331199775228065,2.2336358837953373e-21,1.5635451186567362e-20,1.1822782383320485e-06,8.275947668324339e-06,3.013825989370884e-19,6.422422585852107e-19,4.415966723063749e-06,3.3504325790390608e-21,1.7734061115036925e-06,1.7734061115036958e-06
t0_10s,10.0,0.2,5.0,60.810294987528216,1.6015186633820553,1601518663.3820553,0.0001417410512720879,1.024666621025373e-09,10.24666621025373,1.0000000000000018,6.832558339093283e-22,6.832558339093283e-22,0.6666708955646192,0.6666708955646192,2.008036082182735e-19,4.01607216436547e-19,4.2425787171446475e-19,1.2727736151433943e-18,2.9414089952057617e-06,8.824226985617286e-06,0.08332799873161097,0.33331199492644387,2.2496170192259575e-21,1.5747319134581702e-20,1.1836117075656427e-06,8.2852819529595e-06,3.0120350168910283e-19,6.363827707750025e-19,4.412085505419602e-06,3.3744041238229008e-21,1.7754062993303677e-06,1.775406299330371e-06
t0_10s,10.0,0.2,5.0,61.61686112812399,1.5948937865778305,1594893786.5778306,0.0001385122112977137,1.013854693969539e-09,10.13854693969539,1.0000000000000016,6.705782541714581e-22,6.705782541714581e-22,0.6666708967874369,0.6666708967874369,2.006871569573445e-19,4.01374313914689e-19,4.20386776320728e-19,1.261160328962184e-18,2.938880782341215e-06,8.816642347023645e-06,0.08332799803762471,0.33331199215049884,2.265761984321436e-21,1.5860333890250053e-20,1.1849171026852468e-06,8.294419718796728e-06,3.0102882535358694e-19,6.305761633611033e-19,4.408293202092869e-06,3.3986214116136195e-21,1.7773643763289235e-06,1.777364376328927e-06
t0_10s,10.0,0.2,5.0,62.4341252753532,1.5882687055257059,1588268705.5257058,0.00013535952640785336,1.0032284544525714e-09,10.032284544525714,1.0000000000000016,6.580947581331332e-22,6.580947581331332e-22,0.6666708979797942,0.6666708979797942,2.0057360981866213e-19,4.0114721963732426e-19,4.165503831296524e-19,1.2496511493889572e-18,2.9364105657257015e-06,8.809231697177105e-06,0.08332799735594389,0.33331198942377555,2.2820751735375608e-21,1.5974526214762924e-20,1.1861949621106629e-06,8.30336473477464e-06,3.008585051881794e-19,6.24821608970664e-19,4.404587892802694e-06,3.423091034051298e-21,1.7792811501224622e-06,1.7792811501224656e-06
t0_10s,10.0,0.2,5.0,63.262229323773695,1.5816433018274192,1581643301.8274193,0.0001322811947680442,9.927854903388016e-10,9.927854903388017,1.0000000000000016,6.458026928339507e-22,6.458026928339507e-22,0.6666708991424373,0.6666708991424373,2.00462918873424e-19,4.00925837746848e-19,4.127481349900188e-19,1.2382444049700563e-18,2.933997054443419e-06,8.801991163330256e-06,0.08332799668639747,0.33331198674558987,2.2985610850160197e-21,1.608992759511214e-20,1.1874458301535091e-06,8.312120811074563e-06,3.0069246929974995e-19,6.191182718804009e-19,4.400967641181766e-06,3.447819738303774e-21,1.781157437171719e-06,1.7811574371717224e-06
t0_10s,10.0,0.2,5.0,64.10131704998233,1.575017461972272,1575017461.9722722,0.00012927545627380868,9.825234212695444e-10,9.825234212695444,1.0000000000000016,6.336995112502225e-22,6.336995112502225e-22,0.6666709002760756,0.6666709002760756,2.003550468970491e-19,4.007100937940982e-19,4.0897950856394327e-19,1.2269385256918298e-18,2.9316390201312775e-06,8.794917060393833e-06,0.08332799602882054,0.3333119841152822,2.3152242925282334e-21,1.6206570047697635e-20,1.1886702262063003e-06,8.320691583444102e-06,3.0053066185141713e-19,6.134653670867897e-19,4.3974306046915415e-06,3.4728143849828666e-21,1.7829940165590837e-06,1.782994016559087e-06
